group	colour	x	y	showSelected1	showSelected2
12	#A3A500	1962	43.428	Bolivia	Americas
12	#A3A500	1967	45.032	Bolivia	Americas
12	#A3A500	1972	46.714	Bolivia	Americas
12	#A3A500	1977	50.023	Bolivia	Americas
12	#A3A500	1982	53.859	Bolivia	Americas
12	#A3A500	1987	57.251	Bolivia	Americas
12	#A3A500	1992	59.957	Bolivia	Americas
12	#A3A500	1997	62.05	Bolivia	Americas
12	#A3A500	2002	63.883	Bolivia	Americas
12	#A3A500	2007	65.554	Bolivia	Americas
13	#00B0F6	1952	53.82	Bosnia and Herzegovina	Europe
13	#00B0F6	1957	58.45	Bosnia and Herzegovina	Europe
13	#00B0F6	1962	61.93	Bosnia and Herzegovina	Europe
13	#00B0F6	1967	64.79	Bosnia and Herzegovina	Europe
13	#00B0F6	1972	67.45	Bosnia and Herzegovina	Europe
13	#00B0F6	1977	69.86	Bosnia and Herzegovina	Europe
13	#00B0F6	1982	70.69	Bosnia and Herzegovina	Europe
13	#00B0F6	1987	71.14	Bosnia and Herzegovina	Europe
13	#00B0F6	1992	72.178	Bosnia and Herzegovina	Europe
13	#00B0F6	1997	73.244	Bosnia and Herzegovina	Europe
13	#00B0F6	2002	74.09	Bosnia and Herzegovina	Europe
13	#00B0F6	2007	74.852	Bosnia and Herzegovina	Europe
14	#F8766D	1952	47.622	Botswana	Africa
14	#F8766D	1957	49.618	Botswana	Africa
14	#F8766D	1962	51.52	Botswana	Africa
14	#F8766D	1967	53.298	Botswana	Africa
14	#F8766D	1972	56.024	Botswana	Africa
14	#F8766D	1977	59.319	Botswana	Africa
14	#F8766D	1982	61.484	Botswana	Africa
14	#F8766D	1987	63.622	Botswana	Africa
14	#F8766D	1992	62.745	Botswana	Africa
14	#F8766D	1997	52.556	Botswana	Africa
14	#F8766D	2002	46.634	Botswana	Africa
14	#F8766D	2007	50.728	Botswana	Africa
15	#A3A500	1952	50.917	Brazil	Americas
15	#A3A500	1957	53.285	Brazil	Americas
15	#A3A500	1962	55.665	Brazil	Americas
15	#A3A500	1967	57.632	Brazil	Americas
15	#A3A500	1972	59.504	Brazil	Americas
15	#A3A500	1977	61.489	Brazil	Americas
15	#A3A500	1982	63.336	Brazil	Americas
15	#A3A500	1987	65.205	Brazil	Americas
15	#A3A500	1992	67.057	Brazil	Americas
15	#A3A500	1997	69.388	Brazil	Americas
15	#A3A500	2002	71.006	Brazil	Americas
15	#A3A500	2007	72.39	Brazil	Americas
16	#00B0F6	1952	59.6	Bulgaria	Europe
16	#00B0F6	1957	66.61	Bulgaria	Europe
16	#00B0F6	1962	69.51	Bulgaria	Europe
16	#00B0F6	1967	70.42	Bulgaria	Europe
16	#00B0F6	1972	70.9	Bulgaria	Europe
16	#00B0F6	1977	70.81	Bulgaria	Europe
16	#00B0F6	1982	71.08	Bulgaria	Europe
16	#00B0F6	1987	71.34	Bulgaria	Europe
16	#00B0F6	1992	71.19	Bulgaria	Europe
16	#00B0F6	1997	70.32	Bulgaria	Europe
16	#00B0F6	2002	72.14	Bulgaria	Europe
16	#00B0F6	2007	73.005	Bulgaria	Europe
17	#F8766D	1952	31.975	Burkina Faso	Africa
17	#F8766D	1957	34.906	Burkina Faso	Africa
17	#F8766D	1962	37.814	Burkina Faso	Africa
17	#F8766D	1967	40.697	Burkina Faso	Africa
17	#F8766D	1972	43.591	Burkina Faso	Africa
17	#F8766D	1977	46.137	Burkina Faso	Africa
17	#F8766D	1982	48.122	Burkina Faso	Africa
17	#F8766D	1987	49.557	Burkina Faso	Africa
17	#F8766D	1992	50.26	Burkina Faso	Africa
17	#F8766D	1997	50.324	Burkina Faso	Africa
17	#F8766D	2002	50.65	Burkina Faso	Africa
17	#F8766D	2007	52.295	Burkina Faso	Africa
18	#F8766D	1952	39.031	Burundi	Africa
18	#F8766D	1957	40.533	Burundi	Africa
18	#F8766D	1962	42.045	Burundi	Africa
18	#F8766D	1967	43.548	Burundi	Africa
18	#F8766D	1972	44.057	Burundi	Africa
18	#F8766D	1977	45.91	Burundi	Africa
18	#F8766D	1982	47.471	Burundi	Africa
18	#F8766D	1987	48.211	Burundi	Africa
18	#F8766D	1992	44.736	Burundi	Africa
18	#F8766D	1997	45.326	Burundi	Africa
18	#F8766D	2002	47.36	Burundi	Africa
18	#F8766D	2007	49.58	Burundi	Africa
19	#00BF7D	1952	39.417	Cambodia	Asia
19	#00BF7D	1957	41.366	Cambodia	Asia
19	#00BF7D	1962	43.415	Cambodia	Asia
19	#00BF7D	1967	45.415	Cambodia	Asia
19	#00BF7D	1972	40.317	Cambodia	Asia
19	#00BF7D	1977	31.22	Cambodia	Asia
19	#00BF7D	1982	50.957	Cambodia	Asia
19	#00BF7D	1987	53.914	Cambodia	Asia
19	#00BF7D	1992	55.803	Cambodia	Asia
19	#00BF7D	1997	56.534	Cambodia	Asia
19	#00BF7D	2002	56.752	Cambodia	Asia
19	#00BF7D	2007	59.723	Cambodia	Asia
20	#F8766D	1952	38.523	Cameroon	Africa
20	#F8766D	1957	40.428	Cameroon	Africa
20	#F8766D	1962	42.643	Cameroon	Africa
20	#F8766D	1967	44.799	Cameroon	Africa
20	#F8766D	1972	47.049	Cameroon	Africa
20	#F8766D	1977	49.355	Cameroon	Africa
20	#F8766D	1982	52.961	Cameroon	Africa
20	#F8766D	1987	54.985	Cameroon	Africa
20	#F8766D	1992	54.314	Cameroon	Africa
20	#F8766D	1997	52.199	Cameroon	Africa
20	#F8766D	2002	49.856	Cameroon	Africa
20	#F8766D	2007	50.43	Cameroon	Africa
21	#A3A500	1952	68.75	Canada	Americas
21	#A3A500	1957	69.96	Canada	Americas
21	#A3A500	1962	71.3	Canada	Americas
21	#A3A500	1967	72.13	Canada	Americas
21	#A3A500	1972	72.88	Canada	Americas
21	#A3A500	1977	74.21	Canada	Americas
21	#A3A500	1982	75.76	Canada	Americas
21	#A3A500	1987	76.86	Canada	Americas
21	#A3A500	1992	77.95	Canada	Americas
21	#A3A500	1997	78.61	Canada	Americas
21	#A3A500	2002	79.77	Canada	Americas
21	#A3A500	2007	80.653	Canada	Americas
22	#F8766D	1952	35.463	Central African Republic	Africa
22	#F8766D	1957	37.464	Central African Republic	Africa
22	#F8766D	1962	39.475	Central African Republic	Africa
22	#F8766D	1967	41.478	Central African Republic	Africa
22	#F8766D	1972	43.457	Central African Republic	Africa
22	#F8766D	1977	46.775	Central African Republic	Africa
22	#F8766D	1982	48.295	Central African Republic	Africa
22	#F8766D	1987	50.485	Central African Republic	Africa
22	#F8766D	1992	49.396	Central African Republic	Africa
22	#F8766D	1997	46.066	Central African Republic	Africa
22	#F8766D	2002	43.308	Central African Republic	Africa
22	#F8766D	2007	44.741	Central African Republic	Africa
23	#F8766D	1952	38.092	Chad	Africa
23	#F8766D	1957	39.881	Chad	Africa
23	#F8766D	1962	41.716	Chad	Africa
23	#F8766D	1967	43.601	Chad	Africa
23	#F8766D	1972	45.569	Chad	Africa
23	#F8766D	1977	47.383	Chad	Africa
23	#F8766D	1982	49.517	Chad	Africa
23	#F8766D	1987	51.051	Chad	Africa
23	#F8766D	1992	51.724	Chad	Africa
23	#F8766D	1997	51.573	Chad	Africa
23	#F8766D	2002	50.525	Chad	Africa
23	#F8766D	2007	50.651	Chad	Africa
24	#A3A500	1952	54.745	Chile	Americas
24	#A3A500	1957	56.074	Chile	Americas
24	#A3A500	1962	57.924	Chile	Americas
24	#A3A500	1967	60.523	Chile	Americas
24	#A3A500	1972	63.441	Chile	Americas
24	#A3A500	1977	67.052	Chile	Americas
24	#A3A500	1982	70.565	Chile	Americas
24	#A3A500	1987	72.492	Chile	Americas
24	#A3A500	1992	74.126	Chile	Americas
24	#A3A500	1997	75.816	Chile	Americas
24	#A3A500	2002	77.86	Chile	Americas
24	#A3A500	2007	78.553	Chile	Americas
25	#00BF7D	1952	44	China	Asia
25	#00BF7D	1957	50.54896	China	Asia
25	#00BF7D	1962	44.50136	China	Asia
25	#00BF7D	1967	58.38112	China	Asia
25	#00BF7D	1972	63.11888	China	Asia
25	#00BF7D	1977	63.96736	China	Asia
25	#00BF7D	1982	65.525	China	Asia
25	#00BF7D	1987	67.274	China	Asia
25	#00BF7D	1992	68.69	China	Asia
25	#00BF7D	1997	70.426	China	Asia
25	#00BF7D	2002	72.028	China	Asia
25	#00BF7D	2007	72.961	China	Asia
26	#A3A500	1952	50.643	Colombia	Americas
26	#A3A500	1957	55.118	Colombia	Americas
26	#A3A500	1962	57.863	Colombia	Americas
26	#A3A500	1967	59.963	Colombia	Americas
26	#A3A500	1972	61.623	Colombia	Americas
26	#A3A500	1977	63.837	Colombia	Americas
26	#A3A500	1982	66.653	Colombia	Americas
26	#A3A500	1987	67.768	Colombia	Americas
26	#A3A500	1992	68.421	Colombia	Americas
26	#A3A500	1997	70.313	Colombia	Americas
26	#A3A500	2002	71.682	Colombia	Americas
26	#A3A500	2007	72.889	Colombia	Americas
27	#F8766D	1952	40.715	Comoros	Africa
27	#F8766D	1957	42.46	Comoros	Africa
27	#F8766D	1962	44.467	Comoros	Africa
27	#F8766D	1967	46.472	Comoros	Africa
27	#F8766D	1972	48.944	Comoros	Africa
27	#F8766D	1977	50.939	Comoros	Africa
27	#F8766D	1982	52.933	Comoros	Africa
27	#F8766D	1987	54.926	Comoros	Africa
27	#F8766D	1992	57.939	Comoros	Africa
27	#F8766D	1997	60.66	Comoros	Africa
27	#F8766D	2002	62.974	Comoros	Africa
27	#F8766D	2007	65.152	Comoros	Africa
28	#F8766D	1952	39.143	Congo, Dem. Rep.	Africa
28	#F8766D	1957	40.652	Congo, Dem. Rep.	Africa
28	#F8766D	1962	42.122	Congo, Dem. Rep.	Africa
28	#F8766D	1967	44.056	Congo, Dem. Rep.	Africa
28	#F8766D	1972	45.989	Congo, Dem. Rep.	Africa
28	#F8766D	1977	47.804	Congo, Dem. Rep.	Africa
28	#F8766D	1982	47.784	Congo, Dem. Rep.	Africa
28	#F8766D	1987	47.412	Congo, Dem. Rep.	Africa
28	#F8766D	1992	45.548	Congo, Dem. Rep.	Africa
28	#F8766D	1997	42.587	Congo, Dem. Rep.	Africa
28	#F8766D	2002	44.966	Congo, Dem. Rep.	Africa
28	#F8766D	2007	46.462	Congo, Dem. Rep.	Africa
29	#F8766D	1952	42.111	Congo, Rep.	Africa
29	#F8766D	1957	45.053	Congo, Rep.	Africa
29	#F8766D	1962	48.435	Congo, Rep.	Africa
29	#F8766D	1967	52.04	Congo, Rep.	Africa
29	#F8766D	1972	54.907	Congo, Rep.	Africa
29	#F8766D	1977	55.625	Congo, Rep.	Africa
29	#F8766D	1982	56.695	Congo, Rep.	Africa
29	#F8766D	1987	57.47	Congo, Rep.	Africa
29	#F8766D	1992	56.433	Congo, Rep.	Africa
29	#F8766D	1997	52.962	Congo, Rep.	Africa
29	#F8766D	2002	52.97	Congo, Rep.	Africa
29	#F8766D	2007	55.322	Congo, Rep.	Africa
30	#A3A500	1952	57.206	Costa Rica	Americas
30	#A3A500	1957	60.026	Costa Rica	Americas
30	#A3A500	1962	62.842	Costa Rica	Americas
30	#A3A500	1967	65.424	Costa Rica	Americas
30	#A3A500	1972	67.849	Costa Rica	Americas
30	#A3A500	1977	70.75	Costa Rica	Americas
30	#A3A500	1982	73.45	Costa Rica	Americas
30	#A3A500	1987	74.752	Costa Rica	Americas
30	#A3A500	1992	75.713	Costa Rica	Americas
30	#A3A500	1997	77.26	Costa Rica	Americas
30	#A3A500	2002	78.123	Costa Rica	Americas
30	#A3A500	2007	78.782	Costa Rica	Americas
31	#F8766D	1952	40.477	Cote d'Ivoire	Africa
31	#F8766D	1957	42.469	Cote d'Ivoire	Africa
31	#F8766D	1962	44.93	Cote d'Ivoire	Africa
31	#F8766D	1967	47.35	Cote d'Ivoire	Africa
31	#F8766D	1972	49.801	Cote d'Ivoire	Africa
31	#F8766D	1977	52.374	Cote d'Ivoire	Africa
31	#F8766D	1982	53.983	Cote d'Ivoire	Africa
31	#F8766D	1987	54.655	Cote d'Ivoire	Africa
31	#F8766D	1992	52.044	Cote d'Ivoire	Africa
31	#F8766D	1997	47.991	Cote d'Ivoire	Africa
31	#F8766D	2002	46.832	Cote d'Ivoire	Africa
31	#F8766D	2007	48.328	Cote d'Ivoire	Africa
32	#00B0F6	1952	61.21	Croatia	Europe
32	#00B0F6	1957	64.77	Croatia	Europe
32	#00B0F6	1962	67.13	Croatia	Europe
32	#00B0F6	1967	68.5	Croatia	Europe
32	#00B0F6	1972	69.61	Croatia	Europe
32	#00B0F6	1977	70.64	Croatia	Europe
32	#00B0F6	1982	70.46	Croatia	Europe
32	#00B0F6	1987	71.52	Croatia	Europe
32	#00B0F6	1992	72.527	Croatia	Europe
32	#00B0F6	1997	73.68	Croatia	Europe
32	#00B0F6	2002	74.876	Croatia	Europe
32	#00B0F6	2007	75.748	Croatia	Europe
33	#A3A500	1952	59.421	Cuba	Americas
33	#A3A500	1957	62.325	Cuba	Americas
33	#A3A500	1962	65.246	Cuba	Americas
33	#A3A500	1967	68.29	Cuba	Americas
33	#A3A500	1972	70.723	Cuba	Americas
33	#A3A500	1977	72.649	Cuba	Americas
33	#A3A500	1982	73.717	Cuba	Americas
33	#A3A500	1987	74.174	Cuba	Americas
33	#A3A500	1992	74.414	Cuba	Americas
33	#A3A500	1997	76.151	Cuba	Americas
33	#A3A500	2002	77.158	Cuba	Americas
33	#A3A500	2007	78.273	Cuba	Americas
34	#00B0F6	1952	66.87	Czech Republic	Europe
34	#00B0F6	1957	69.03	Czech Republic	Europe
34	#00B0F6	1962	69.9	Czech Republic	Europe
34	#00B0F6	1967	70.38	Czech Republic	Europe
34	#00B0F6	1972	70.29	Czech Republic	Europe
34	#00B0F6	1977	70.71	Czech Republic	Europe
34	#00B0F6	1982	70.96	Czech Republic	Europe
34	#00B0F6	1987	71.58	Czech Republic	Europe
34	#00B0F6	1992	72.4	Czech Republic	Europe
34	#00B0F6	1997	74.01	Czech Republic	Europe
34	#00B0F6	2002	75.51	Czech Republic	Europe
34	#00B0F6	2007	76.486	Czech Republic	Europe
35	#00B0F6	1952	70.78	Denmark	Europe
35	#00B0F6	1957	71.81	Denmark	Europe
35	#00B0F6	1962	72.35	Denmark	Europe
35	#00B0F6	1967	72.96	Denmark	Europe
35	#00B0F6	1972	73.47	Denmark	Europe
35	#00B0F6	1977	74.69	Denmark	Europe
35	#00B0F6	1982	74.63	Denmark	Europe
35	#00B0F6	1987	74.8	Denmark	Europe
35	#00B0F6	1992	75.33	Denmark	Europe
35	#00B0F6	1997	76.11	Denmark	Europe
35	#00B0F6	2002	77.18	Denmark	Europe
35	#00B0F6	2007	78.332	Denmark	Europe
36	#F8766D	1952	34.812	Djibouti	Africa
36	#F8766D	1957	37.328	Djibouti	Africa
36	#F8766D	1962	39.693	Djibouti	Africa
36	#F8766D	1967	42.074	Djibouti	Africa
36	#F8766D	1972	44.366	Djibouti	Africa
36	#F8766D	1977	46.519	Djibouti	Africa
36	#F8766D	1982	48.812	Djibouti	Africa
36	#F8766D	1987	50.04	Djibouti	Africa
36	#F8766D	1992	51.604	Djibouti	Africa
36	#F8766D	1997	53.157	Djibouti	Africa
36	#F8766D	2002	53.373	Djibouti	Africa
36	#F8766D	2007	54.791	Djibouti	Africa
37	#A3A500	1952	45.928	Dominican Republic	Americas
37	#A3A500	1957	49.828	Dominican Republic	Americas
37	#A3A500	1962	53.459	Dominican Republic	Americas
37	#A3A500	1967	56.751	Dominican Republic	Americas
37	#A3A500	1972	59.631	Dominican Republic	Americas
37	#A3A500	1977	61.788	Dominican Republic	Americas
37	#A3A500	1982	63.727	Dominican Republic	Americas
37	#A3A500	1987	66.046	Dominican Republic	Americas
37	#A3A500	1992	68.457	Dominican Republic	Americas
37	#A3A500	1997	69.957	Dominican Republic	Americas
37	#A3A500	2002	70.847	Dominican Republic	Americas
37	#A3A500	2007	72.235	Dominican Republic	Americas
38	#A3A500	1952	48.357	Ecuador	Americas
38	#A3A500	1957	51.356	Ecuador	Americas
38	#A3A500	1962	54.64	Ecuador	Americas
38	#A3A500	1967	56.678	Ecuador	Americas
38	#A3A500	1972	58.796	Ecuador	Americas
38	#A3A500	1977	61.31	Ecuador	Americas
38	#A3A500	1982	64.342	Ecuador	Americas
38	#A3A500	1987	67.231	Ecuador	Americas
38	#A3A500	1992	69.613	Ecuador	Americas
38	#A3A500	1997	72.312	Ecuador	Americas
38	#A3A500	2002	74.173	Ecuador	Americas
38	#A3A500	2007	74.994	Ecuador	Americas
39	#F8766D	1952	41.893	Egypt	Africa
39	#F8766D	1957	44.444	Egypt	Africa
39	#F8766D	1962	46.992	Egypt	Africa
39	#F8766D	1967	49.293	Egypt	Africa
39	#F8766D	1972	51.137	Egypt	Africa
39	#F8766D	1977	53.319	Egypt	Africa
39	#F8766D	1982	56.006	Egypt	Africa
39	#F8766D	1987	59.797	Egypt	Africa
39	#F8766D	1992	63.674	Egypt	Africa
39	#F8766D	1997	67.217	Egypt	Africa
39	#F8766D	2002	69.806	Egypt	Africa
39	#F8766D	2007	71.338	Egypt	Africa
40	#A3A500	1952	45.262	El Salvador	Americas
40	#A3A500	1957	48.57	El Salvador	Americas
40	#A3A500	1962	52.307	El Salvador	Americas
40	#A3A500	1967	55.855	El Salvador	Americas
40	#A3A500	1972	58.207	El Salvador	Americas
40	#A3A500	1977	56.696	El Salvador	Americas
40	#A3A500	1982	56.604	El Salvador	Americas
40	#A3A500	1987	63.154	El Salvador	Americas
40	#A3A500	1992	66.798	El Salvador	Americas
40	#A3A500	1997	69.535	El Salvador	Americas
40	#A3A500	2002	70.734	El Salvador	Americas
40	#A3A500	2007	71.878	El Salvador	Americas
41	#F8766D	1952	34.482	Equatorial Guinea	Africa
41	#F8766D	1957	35.983	Equatorial Guinea	Africa
41	#F8766D	1962	37.485	Equatorial Guinea	Africa
41	#F8766D	1967	38.987	Equatorial Guinea	Africa
41	#F8766D	1972	40.516	Equatorial Guinea	Africa
41	#F8766D	1977	42.024	Equatorial Guinea	Africa
41	#F8766D	1982	43.662	Equatorial Guinea	Africa
41	#F8766D	1987	45.664	Equatorial Guinea	Africa
41	#F8766D	1992	47.545	Equatorial Guinea	Africa
41	#F8766D	1997	48.245	Equatorial Guinea	Africa
41	#F8766D	2002	49.348	Equatorial Guinea	Africa
41	#F8766D	2007	51.579	Equatorial Guinea	Africa
42	#F8766D	1952	35.928	Eritrea	Africa
42	#F8766D	1957	38.047	Eritrea	Africa
42	#F8766D	1962	40.158	Eritrea	Africa
42	#F8766D	1967	42.189	Eritrea	Africa
42	#F8766D	1972	44.142	Eritrea	Africa
42	#F8766D	1977	44.535	Eritrea	Africa
42	#F8766D	1982	43.89	Eritrea	Africa
42	#F8766D	1987	46.453	Eritrea	Africa
42	#F8766D	1992	49.991	Eritrea	Africa
42	#F8766D	1997	53.378	Eritrea	Africa
42	#F8766D	2002	55.24	Eritrea	Africa
42	#F8766D	2007	58.04	Eritrea	Africa
43	#F8766D	1952	34.078	Ethiopia	Africa
43	#F8766D	1957	36.667	Ethiopia	Africa
43	#F8766D	1962	40.059	Ethiopia	Africa
43	#F8766D	1967	42.115	Ethiopia	Africa
43	#F8766D	1972	43.515	Ethiopia	Africa
43	#F8766D	1977	44.51	Ethiopia	Africa
43	#F8766D	1982	44.916	Ethiopia	Africa
43	#F8766D	1987	46.684	Ethiopia	Africa
43	#F8766D	1992	48.091	Ethiopia	Africa
43	#F8766D	1997	49.402	Ethiopia	Africa
43	#F8766D	2002	50.725	Ethiopia	Africa
43	#F8766D	2007	52.947	Ethiopia	Africa
44	#00B0F6	1952	66.55	Finland	Europe
44	#00B0F6	1957	67.49	Finland	Europe
44	#00B0F6	1962	68.75	Finland	Europe
44	#00B0F6	1967	69.83	Finland	Europe
44	#00B0F6	1972	70.87	Finland	Europe
44	#00B0F6	1977	72.52	Finland	Europe
44	#00B0F6	1982	74.55	Finland	Europe
44	#00B0F6	1987	74.83	Finland	Europe
44	#00B0F6	1992	75.7	Finland	Europe
44	#00B0F6	1997	77.13	Finland	Europe
44	#00B0F6	2002	78.37	Finland	Europe
44	#00B0F6	2007	79.313	Finland	Europe
45	#00B0F6	1952	67.41	France	Europe
45	#00B0F6	1957	68.93	France	Europe
45	#00B0F6	1962	70.51	France	Europe
45	#00B0F6	1967	71.55	France	Europe
45	#00B0F6	1972	72.38	France	Europe
45	#00B0F6	1977	73.83	France	Europe
45	#00B0F6	1982	74.89	France	Europe
45	#00B0F6	1987	76.34	France	Europe
45	#00B0F6	1992	77.46	France	Europe
45	#00B0F6	1997	78.64	France	Europe
45	#00B0F6	2002	79.59	France	Europe
45	#00B0F6	2007	80.657	France	Europe
46	#F8766D	1952	37.003	Gabon	Africa
46	#F8766D	1957	38.999	Gabon	Africa
46	#F8766D	1962	40.489	Gabon	Africa
46	#F8766D	1967	44.598	Gabon	Africa
46	#F8766D	1972	48.69	Gabon	Africa
46	#F8766D	1977	52.79	Gabon	Africa
46	#F8766D	1982	56.564	Gabon	Africa
46	#F8766D	1987	60.19	Gabon	Africa
46	#F8766D	1992	61.366	Gabon	Africa
46	#F8766D	1997	60.461	Gabon	Africa
46	#F8766D	2002	56.761	Gabon	Africa
