group	clickSelects	colour	fill	key	showSelected2	tooltip
1	Tanzania	#F8766D	#F8766D	Tanzania	Africa	Tanzania
1	Thailand	#00BF7D	#00BF7D	Thailand	Asia	Thailand
1	Togo	#F8766D	#F8766D	Togo	Africa	Togo
1	Trinidad and Tobago	#A3A500	#A3A500	Trinidad and Tobago	Americas	Trinidad and Tobago
1	Tunisia	#F8766D	#F8766D	Tunisia	Africa	Tunisia
1	Turkey	#00B0F6	#00B0F6	Turkey	Europe	Turkey
1	Uganda	#F8766D	#F8766D	Uganda	Africa	Uganda
1	United Kingdom	#00B0F6	#00B0F6	United Kingdom	Europe	United Kingdom
1	United States	#A3A500	#A3A500	United States	Americas	United States
1	Uruguay	#A3A500	#A3A500	Uruguay	Americas	Uruguay
1	Venezuela	#A3A500	#A3A500	Venezuela	Americas	Venezuela
1	Vietnam	#00BF7D	#00BF7D	Vietnam	Asia	Vietnam
1	West Bank and Gaza	#00BF7D	#00BF7D	West Bank and Gaza	Asia	West Bank and Gaza
1	Yemen, Rep.	#00BF7D	#00BF7D	Yemen, Rep.	Asia	Yemen, Rep.
1	Zambia	#F8766D	#F8766D	Zambia	Africa	Zambia
1	Zimbabwe	#F8766D	#F8766D	Zimbabwe	Africa	Zimbabwe
