colour	x	y	key	showSelected1	showSelected2	fill
#F8766D	1977	58.014	1977	Algeria	Africa	#F8766D
#F8766D	1982	61.368	1982	Algeria	Africa	#F8766D
#F8766D	1987	65.799	1987	Algeria	Africa	#F8766D
#F8766D	1992	67.744	1992	Algeria	Africa	#F8766D
#F8766D	1997	69.152	1997	Algeria	Africa	#F8766D
#F8766D	2002	70.994	2002	Algeria	Africa	#F8766D
#F8766D	2007	72.301	2007	Algeria	Africa	#F8766D
#F8766D	1952	30.015	1952	Angola	Africa	#F8766D
#F8766D	1957	31.999	1957	Angola	Africa	#F8766D
#F8766D	1962	34	1962	Angola	Africa	#F8766D
#F8766D	1967	35.985	1967	Angola	Africa	#F8766D
#F8766D	1972	37.928	1972	Angola	Africa	#F8766D
#F8766D	1977	39.483	1977	Angola	Africa	#F8766D
#F8766D	1982	39.942	1982	Angola	Africa	#F8766D
#F8766D	1987	39.906	1987	Angola	Africa	#F8766D
#F8766D	1992	40.647	1992	Angola	Africa	#F8766D
#F8766D	1997	40.963	1997	Angola	Africa	#F8766D
#F8766D	2002	41.003	2002	Angola	Africa	#F8766D
#F8766D	2007	42.731	2007	Angola	Africa	#F8766D
#A3A500	1952	62.485	1952	Argentina	Americas	#A3A500
#A3A500	1957	64.399	1957	Argentina	Americas	#A3A500
#A3A500	1962	65.142	1962	Argentina	Americas	#A3A500
#A3A500	1967	65.634	1967	Argentina	Americas	#A3A500
#A3A500	1972	67.065	1972	Argentina	Americas	#A3A500
#A3A500	1977	68.481	1977	Argentina	Americas	#A3A500
#A3A500	1982	69.942	1982	Argentina	Americas	#A3A500
#A3A500	1987	70.774	1987	Argentina	Americas	#A3A500
#A3A500	1992	71.868	1992	Argentina	Americas	#A3A500
#A3A500	1997	73.275	1997	Argentina	Americas	#A3A500
#A3A500	2002	74.34	2002	Argentina	Americas	#A3A500
#A3A500	2007	75.32	2007	Argentina	Americas	#A3A500
#E76BF3	1952	69.12	1952	Australia	Oceania	#E76BF3
#E76BF3	1957	70.33	1957	Australia	Oceania	#E76BF3
#E76BF3	1962	70.93	1962	Australia	Oceania	#E76BF3
#E76BF3	1967	71.1	1967	Australia	Oceania	#E76BF3
#E76BF3	1972	71.93	1972	Australia	Oceania	#E76BF3
#E76BF3	1977	73.49	1977	Australia	Oceania	#E76BF3
#E76BF3	1982	74.74	1982	Australia	Oceania	#E76BF3
#E76BF3	1987	76.32	1987	Australia	Oceania	#E76BF3
#E76BF3	1992	77.56	1992	Australia	Oceania	#E76BF3
#E76BF3	1997	78.83	1997	Australia	Oceania	#E76BF3
#E76BF3	2002	80.37	2002	Australia	Oceania	#E76BF3
#E76BF3	2007	81.235	2007	Australia	Oceania	#E76BF3
#00B0F6	1952	66.8	1952	Austria	Europe	#00B0F6
#00B0F6	1957	67.48	1957	Austria	Europe	#00B0F6
#00B0F6	1962	69.54	1962	Austria	Europe	#00B0F6
#00B0F6	1967	70.14	1967	Austria	Europe	#00B0F6
#00B0F6	1972	70.63	1972	Austria	Europe	#00B0F6
#00B0F6	1977	72.17	1977	Austria	Europe	#00B0F6
#00B0F6	1982	73.18	1982	Austria	Europe	#00B0F6
#00B0F6	1987	74.94	1987	Austria	Europe	#00B0F6
#00B0F6	1992	76.04	1992	Austria	Europe	#00B0F6
#00B0F6	1997	77.51	1997	Austria	Europe	#00B0F6
#00B0F6	2002	78.98	2002	Austria	Europe	#00B0F6
#00B0F6	2007	79.829	2007	Austria	Europe	#00B0F6
#00BF7D	1952	50.939	1952	Bahrain	Asia	#00BF7D
#00BF7D	1957	53.832	1957	Bahrain	Asia	#00BF7D
#00BF7D	1962	56.923	1962	Bahrain	Asia	#00BF7D
#00BF7D	1967	59.923	1967	Bahrain	Asia	#00BF7D
#00BF7D	1972	63.3	1972	Bahrain	Asia	#00BF7D
#00BF7D	1977	65.593	1977	Bahrain	Asia	#00BF7D
#00BF7D	1982	69.052	1982	Bahrain	Asia	#00BF7D
#00BF7D	1987	70.75	1987	Bahrain	Asia	#00BF7D
#00BF7D	1992	72.601	1992	Bahrain	Asia	#00BF7D
#00BF7D	1997	73.925	1997	Bahrain	Asia	#00BF7D
#00BF7D	2002	74.795	2002	Bahrain	Asia	#00BF7D
#00BF7D	2007	75.635	2007	Bahrain	Asia	#00BF7D
#00BF7D	1952	37.484	1952	Bangladesh	Asia	#00BF7D
#00BF7D	1957	39.348	1957	Bangladesh	Asia	#00BF7D
#00BF7D	1962	41.216	1962	Bangladesh	Asia	#00BF7D
#00BF7D	1967	43.453	1967	Bangladesh	Asia	#00BF7D
#00BF7D	1972	45.252	1972	Bangladesh	Asia	#00BF7D
#00BF7D	1977	46.923	1977	Bangladesh	Asia	#00BF7D
#00BF7D	1982	50.009	1982	Bangladesh	Asia	#00BF7D
#00BF7D	1987	52.819	1987	Bangladesh	Asia	#00BF7D
#00BF7D	1992	56.018	1992	Bangladesh	Asia	#00BF7D
#00BF7D	1997	59.412	1997	Bangladesh	Asia	#00BF7D
#00BF7D	2002	62.013	2002	Bangladesh	Asia	#00BF7D
#00BF7D	2007	64.062	2007	Bangladesh	Asia	#00BF7D
#00B0F6	1952	68	1952	Belgium	Europe	#00B0F6
#00B0F6	1957	69.24	1957	Belgium	Europe	#00B0F6
#00B0F6	1962	70.25	1962	Belgium	Europe	#00B0F6
#00B0F6	1967	70.94	1967	Belgium	Europe	#00B0F6
#00B0F6	1972	71.44	1972	Belgium	Europe	#00B0F6
#00B0F6	1977	72.8	1977	Belgium	Europe	#00B0F6
#00B0F6	1982	73.93	1982	Belgium	Europe	#00B0F6
#00B0F6	1987	75.35	1987	Belgium	Europe	#00B0F6
#00B0F6	1992	76.46	1992	Belgium	Europe	#00B0F6
#00B0F6	1997	77.53	1997	Belgium	Europe	#00B0F6
#00B0F6	2002	78.32	2002	Belgium	Europe	#00B0F6
#00B0F6	2007	79.441	2007	Belgium	Europe	#00B0F6
#F8766D	1952	38.223	1952	Benin	Africa	#F8766D
#F8766D	1957	40.358	1957	Benin	Africa	#F8766D
#F8766D	1962	42.618	1962	Benin	Africa	#F8766D
#F8766D	1967	44.885	1967	Benin	Africa	#F8766D
#F8766D	1972	47.014	1972	Benin	Africa	#F8766D
#F8766D	1977	49.19	1977	Benin	Africa	#F8766D
#F8766D	1982	50.904	1982	Benin	Africa	#F8766D
#F8766D	1987	52.337	1987	Benin	Africa	#F8766D
#F8766D	1992	53.919	1992	Benin	Africa	#F8766D
#F8766D	1997	54.777	1997	Benin	Africa	#F8766D
#F8766D	2002	54.406	2002	Benin	Africa	#F8766D
#F8766D	2007	56.728	2007	Benin	Africa	#F8766D
#A3A500	1952	40.414	1952	Bolivia	Americas	#A3A500
#A3A500	1957	41.89	1957	Bolivia	Americas	#A3A500
#A3A500	1962	43.428	1962	Bolivia	Americas	#A3A500
#A3A500	1967	45.032	1967	Bolivia	Americas	#A3A500
#A3A500	1972	46.714	1972	Bolivia	Americas	#A3A500
#A3A500	1977	50.023	1977	Bolivia	Americas	#A3A500
#A3A500	1982	53.859	1982	Bolivia	Americas	#A3A500
#A3A500	1987	57.251	1987	Bolivia	Americas	#A3A500
#A3A500	1992	59.957	1992	Bolivia	Americas	#A3A500
#A3A500	1997	62.05	1997	Bolivia	Americas	#A3A500
#A3A500	2002	63.883	2002	Bolivia	Americas	#A3A500
#A3A500	2007	65.554	2007	Bolivia	Americas	#A3A500
#00B0F6	1952	53.82	1952	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1957	58.45	1957	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1962	61.93	1962	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1967	64.79	1967	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1972	67.45	1972	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1977	69.86	1977	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1982	70.69	1982	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1987	71.14	1987	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1992	72.178	1992	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	1997	73.244	1997	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	2002	74.09	2002	Bosnia and Herzegovina	Europe	#00B0F6
#00B0F6	2007	74.852	2007	Bosnia and Herzegovina	Europe	#00B0F6
#F8766D	1952	47.622	1952	Botswana	Africa	#F8766D
#F8766D	1957	49.618	1957	Botswana	Africa	#F8766D
#F8766D	1962	51.52	1962	Botswana	Africa	#F8766D
#F8766D	1967	53.298	1967	Botswana	Africa	#F8766D
#F8766D	1972	56.024	1972	Botswana	Africa	#F8766D
#F8766D	1977	59.319	1977	Botswana	Africa	#F8766D
#F8766D	1982	61.484	1982	Botswana	Africa	#F8766D
#F8766D	1987	63.622	1987	Botswana	Africa	#F8766D
#F8766D	1992	62.745	1992	Botswana	Africa	#F8766D
#F8766D	1997	52.556	1997	Botswana	Africa	#F8766D
#F8766D	2002	46.634	2002	Botswana	Africa	#F8766D
#F8766D	2007	50.728	2007	Botswana	Africa	#F8766D
#A3A500	1952	50.917	1952	Brazil	Americas	#A3A500
#A3A500	1957	53.285	1957	Brazil	Americas	#A3A500
#A3A500	1962	55.665	1962	Brazil	Americas	#A3A500
#A3A500	1967	57.632	1967	Brazil	Americas	#A3A500
#A3A500	1972	59.504	1972	Brazil	Americas	#A3A500
#A3A500	1977	61.489	1977	Brazil	Americas	#A3A500
#A3A500	1982	63.336	1982	Brazil	Americas	#A3A500
#A3A500	1987	65.205	1987	Brazil	Americas	#A3A500
#A3A500	1992	67.057	1992	Brazil	Americas	#A3A500
#A3A500	1997	69.388	1997	Brazil	Americas	#A3A500
#A3A500	2002	71.006	2002	Brazil	Americas	#A3A500
#A3A500	2007	72.39	2007	Brazil	Americas	#A3A500
#00B0F6	1952	59.6	1952	Bulgaria	Europe	#00B0F6
#00B0F6	1957	66.61	1957	Bulgaria	Europe	#00B0F6
#00B0F6	1962	69.51	1962	Bulgaria	Europe	#00B0F6
#00B0F6	1967	70.42	1967	Bulgaria	Europe	#00B0F6
#00B0F6	1972	70.9	1972	Bulgaria	Europe	#00B0F6
#00B0F6	1977	70.81	1977	Bulgaria	Europe	#00B0F6
#00B0F6	1982	71.08	1982	Bulgaria	Europe	#00B0F6
#00B0F6	1987	71.34	1987	Bulgaria	Europe	#00B0F6
#00B0F6	1992	71.19	1992	Bulgaria	Europe	#00B0F6
#00B0F6	1997	70.32	1997	Bulgaria	Europe	#00B0F6
#00B0F6	2002	72.14	2002	Bulgaria	Europe	#00B0F6
#00B0F6	2007	73.005	2007	Bulgaria	Europe	#00B0F6
#F8766D	1952	31.975	1952	Burkina Faso	Africa	#F8766D
#F8766D	1957	34.906	1957	Burkina Faso	Africa	#F8766D
#F8766D	1962	37.814	1962	Burkina Faso	Africa	#F8766D
#F8766D	1967	40.697	1967	Burkina Faso	Africa	#F8766D
#F8766D	1972	43.591	1972	Burkina Faso	Africa	#F8766D
#F8766D	1977	46.137	1977	Burkina Faso	Africa	#F8766D
#F8766D	1982	48.122	1982	Burkina Faso	Africa	#F8766D
#F8766D	1987	49.557	1987	Burkina Faso	Africa	#F8766D
#F8766D	1992	50.26	1992	Burkina Faso	Africa	#F8766D
#F8766D	1997	50.324	1997	Burkina Faso	Africa	#F8766D
#F8766D	2002	50.65	2002	Burkina Faso	Africa	#F8766D
#F8766D	2007	52.295	2007	Burkina Faso	Africa	#F8766D
#F8766D	1952	39.031	1952	Burundi	Africa	#F8766D
#F8766D	1957	40.533	1957	Burundi	Africa	#F8766D
#F8766D	1962	42.045	1962	Burundi	Africa	#F8766D
#F8766D	1967	43.548	1967	Burundi	Africa	#F8766D
#F8766D	1972	44.057	1972	Burundi	Africa	#F8766D
#F8766D	1977	45.91	1977	Burundi	Africa	#F8766D
#F8766D	1982	47.471	1982	Burundi	Africa	#F8766D
#F8766D	1987	48.211	1987	Burundi	Africa	#F8766D
#F8766D	1992	44.736	1992	Burundi	Africa	#F8766D
#F8766D	1997	45.326	1997	Burundi	Africa	#F8766D
#F8766D	2002	47.36	2002	Burundi	Africa	#F8766D
#F8766D	2007	49.58	2007	Burundi	Africa	#F8766D
#00BF7D	1952	39.417	1952	Cambodia	Asia	#00BF7D
#00BF7D	1957	41.366	1957	Cambodia	Asia	#00BF7D
#00BF7D	1962	43.415	1962	Cambodia	Asia	#00BF7D
#00BF7D	1967	45.415	1967	Cambodia	Asia	#00BF7D
#00BF7D	1972	40.317	1972	Cambodia	Asia	#00BF7D
#00BF7D	1977	31.22	1977	Cambodia	Asia	#00BF7D
#00BF7D	1982	50.957	1982	Cambodia	Asia	#00BF7D
#00BF7D	1987	53.914	1987	Cambodia	Asia	#00BF7D
#00BF7D	1992	55.803	1992	Cambodia	Asia	#00BF7D
#00BF7D	1997	56.534	1997	Cambodia	Asia	#00BF7D
#00BF7D	2002	56.752	2002	Cambodia	Asia	#00BF7D
#00BF7D	2007	59.723	2007	Cambodia	Asia	#00BF7D
#F8766D	1952	38.523	1952	Cameroon	Africa	#F8766D
#F8766D	1957	40.428	1957	Cameroon	Africa	#F8766D
#F8766D	1962	42.643	1962	Cameroon	Africa	#F8766D
#F8766D	1967	44.799	1967	Cameroon	Africa	#F8766D
#F8766D	1972	47.049	1972	Cameroon	Africa	#F8766D
#F8766D	1977	49.355	1977	Cameroon	Africa	#F8766D
#F8766D	1982	52.961	1982	Cameroon	Africa	#F8766D
#F8766D	1987	54.985	1987	Cameroon	Africa	#F8766D
#F8766D	1992	54.314	1992	Cameroon	Africa	#F8766D
#F8766D	1997	52.199	1997	Cameroon	Africa	#F8766D
#F8766D	2002	49.856	2002	Cameroon	Africa	#F8766D
#F8766D	2007	50.43	2007	Cameroon	Africa	#F8766D
#A3A500	1952	68.75	1952	Canada	Americas	#A3A500
#A3A500	1957	69.96	1957	Canada	Americas	#A3A500
#A3A500	1962	71.3	1962	Canada	Americas	#A3A500
#A3A500	1967	72.13	1967	Canada	Americas	#A3A500
#A3A500	1972	72.88	1972	Canada	Americas	#A3A500
#A3A500	1977	74.21	1977	Canada	Americas	#A3A500
#A3A500	1982	75.76	1982	Canada	Americas	#A3A500
#A3A500	1987	76.86	1987	Canada	Americas	#A3A500
#A3A500	1992	77.95	1992	Canada	Americas	#A3A500
#A3A500	1997	78.61	1997	Canada	Americas	#A3A500
#A3A500	2002	79.77	2002	Canada	Americas	#A3A500
#A3A500	2007	80.653	2007	Canada	Americas	#A3A500
#F8766D	1952	35.463	1952	Central African Republic	Africa	#F8766D
#F8766D	1957	37.464	1957	Central African Republic	Africa	#F8766D
#F8766D	1962	39.475	1962	Central African Republic	Africa	#F8766D
#F8766D	1967	41.478	1967	Central African Republic	Africa	#F8766D
#F8766D	1972	43.457	1972	Central African Republic	Africa	#F8766D
#F8766D	1977	46.775	1977	Central African Republic	Africa	#F8766D
#F8766D	1982	48.295	1982	Central African Republic	Africa	#F8766D
#F8766D	1987	50.485	1987	Central African Republic	Africa	#F8766D
#F8766D	1992	49.396	1992	Central African Republic	Africa	#F8766D
#F8766D	1997	46.066	1997	Central African Republic	Africa	#F8766D
#F8766D	2002	43.308	2002	Central African Republic	Africa	#F8766D
#F8766D	2007	44.741	2007	Central African Republic	Africa	#F8766D
#F8766D	1952	38.092	1952	Chad	Africa	#F8766D
#F8766D	1957	39.881	1957	Chad	Africa	#F8766D
#F8766D	1962	41.716	1962	Chad	Africa	#F8766D
#F8766D	1967	43.601	1967	Chad	Africa	#F8766D
#F8766D	1972	45.569	1972	Chad	Africa	#F8766D
#F8766D	1977	47.383	1977	Chad	Africa	#F8766D
#F8766D	1982	49.517	1982	Chad	Africa	#F8766D
#F8766D	1987	51.051	1987	Chad	Africa	#F8766D
#F8766D	1992	51.724	1992	Chad	Africa	#F8766D
#F8766D	1997	51.573	1997	Chad	Africa	#F8766D
#F8766D	2002	50.525	2002	Chad	Africa	#F8766D
#F8766D	2007	50.651	2007	Chad	Africa	#F8766D
#A3A500	1952	54.745	1952	Chile	Americas	#A3A500
#A3A500	1957	56.074	1957	Chile	Americas	#A3A500
#A3A500	1962	57.924	1962	Chile	Americas	#A3A500
#A3A500	1967	60.523	1967	Chile	Americas	#A3A500
#A3A500	1972	63.441	1972	Chile	Americas	#A3A500
#A3A500	1977	67.052	1977	Chile	Americas	#A3A500
#A3A500	1982	70.565	1982	Chile	Americas	#A3A500
#A3A500	1987	72.492	1987	Chile	Americas	#A3A500
#A3A500	1992	74.126	1992	Chile	Americas	#A3A500
#A3A500	1997	75.816	1997	Chile	Americas	#A3A500
#A3A500	2002	77.86	2002	Chile	Americas	#A3A500
#A3A500	2007	78.553	2007	Chile	Americas	#A3A500
#00BF7D	1952	44	1952	China	Asia	#00BF7D
#00BF7D	1957	50.54896	1957	China	Asia	#00BF7D
#00BF7D	1962	44.50136	1962	China	Asia	#00BF7D
#00BF7D	1967	58.38112	1967	China	Asia	#00BF7D
#00BF7D	1972	63.11888	1972	China	Asia	#00BF7D
#00BF7D	1977	63.96736	1977	China	Asia	#00BF7D
#00BF7D	1982	65.525	1982	China	Asia	#00BF7D
#00BF7D	1987	67.274	1987	China	Asia	#00BF7D
#00BF7D	1992	68.69	1992	China	Asia	#00BF7D
#00BF7D	1997	70.426	1997	China	Asia	#00BF7D
#00BF7D	2002	72.028	2002	China	Asia	#00BF7D
#00BF7D	2007	72.961	2007	China	Asia	#00BF7D
#A3A500	1952	50.643	1952	Colombia	Americas	#A3A500
#A3A500	1957	55.118	1957	Colombia	Americas	#A3A500
#A3A500	1962	57.863	1962	Colombia	Americas	#A3A500
#A3A500	1967	59.963	1967	Colombia	Americas	#A3A500
#A3A500	1972	61.623	1972	Colombia	Americas	#A3A500
#A3A500	1977	63.837	1977	Colombia	Americas	#A3A500
#A3A500	1982	66.653	1982	Colombia	Americas	#A3A500
#A3A500	1987	67.768	1987	Colombia	Americas	#A3A500
#A3A500	1992	68.421	1992	Colombia	Americas	#A3A500
#A3A500	1997	70.313	1997	Colombia	Americas	#A3A500
#A3A500	2002	71.682	2002	Colombia	Americas	#A3A500
#A3A500	2007	72.889	2007	Colombia	Americas	#A3A500
#F8766D	1952	40.715	1952	Comoros	Africa	#F8766D
#F8766D	1957	42.46	1957	Comoros	Africa	#F8766D
#F8766D	1962	44.467	1962	Comoros	Africa	#F8766D
#F8766D	1967	46.472	1967	Comoros	Africa	#F8766D
#F8766D	1972	48.944	1972	Comoros	Africa	#F8766D
#F8766D	1977	50.939	1977	Comoros	Africa	#F8766D
#F8766D	1982	52.933	1982	Comoros	Africa	#F8766D
#F8766D	1987	54.926	1987	Comoros	Africa	#F8766D
#F8766D	1992	57.939	1992	Comoros	Africa	#F8766D
#F8766D	1997	60.66	1997	Comoros	Africa	#F8766D
#F8766D	2002	62.974	2002	Comoros	Africa	#F8766D
#F8766D	2007	65.152	2007	Comoros	Africa	#F8766D
#F8766D	1952	39.143	1952	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1957	40.652	1957	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1962	42.122	1962	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1967	44.056	1967	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1972	45.989	1972	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1977	47.804	1977	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1982	47.784	1982	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1987	47.412	1987	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1992	45.548	1992	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1997	42.587	1997	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	2002	44.966	2002	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	2007	46.462	2007	Congo, Dem. Rep.	Africa	#F8766D
#F8766D	1952	42.111	1952	Congo, Rep.	Africa	#F8766D
#F8766D	1957	45.053	1957	Congo, Rep.	Africa	#F8766D
#F8766D	1962	48.435	1962	Congo, Rep.	Africa	#F8766D
#F8766D	1967	52.04	1967	Congo, Rep.	Africa	#F8766D
#F8766D	1972	54.907	1972	Congo, Rep.	Africa	#F8766D
#F8766D	1977	55.625	1977	Congo, Rep.	Africa	#F8766D
#F8766D	1982	56.695	1982	Congo, Rep.	Africa	#F8766D
#F8766D	1987	57.47	1987	Congo, Rep.	Africa	#F8766D
#F8766D	1992	56.433	1992	Congo, Rep.	Africa	#F8766D
#F8766D	1997	52.962	1997	Congo, Rep.	Africa	#F8766D
#F8766D	2002	52.97	2002	Congo, Rep.	Africa	#F8766D
#F8766D	2007	55.322	2007	Congo, Rep.	Africa	#F8766D
#A3A500	1952	57.206	1952	Costa Rica	Americas	#A3A500
#A3A500	1957	60.026	1957	Costa Rica	Americas	#A3A500
#A3A500	1962	62.842	1962	Costa Rica	Americas	#A3A500
#A3A500	1967	65.424	1967	Costa Rica	Americas	#A3A500
#A3A500	1972	67.849	1972	Costa Rica	Americas	#A3A500
#A3A500	1977	70.75	1977	Costa Rica	Americas	#A3A500
#A3A500	1982	73.45	1982	Costa Rica	Americas	#A3A500
#A3A500	1987	74.752	1987	Costa Rica	Americas	#A3A500
#A3A500	1992	75.713	1992	Costa Rica	Americas	#A3A500
#A3A500	1997	77.26	1997	Costa Rica	Americas	#A3A500
#A3A500	2002	78.123	2002	Costa Rica	Americas	#A3A500
#A3A500	2007	78.782	2007	Costa Rica	Americas	#A3A500
#F8766D	1952	40.477	1952	Cote d'Ivoire	Africa	#F8766D
#F8766D	1957	42.469	1957	Cote d'Ivoire	Africa	#F8766D
#F8766D	1962	44.93	1962	Cote d'Ivoire	Africa	#F8766D
#F8766D	1967	47.35	1967	Cote d'Ivoire	Africa	#F8766D
#F8766D	1972	49.801	1972	Cote d'Ivoire	Africa	#F8766D
#F8766D	1977	52.374	1977	Cote d'Ivoire	Africa	#F8766D
#F8766D	1982	53.983	1982	Cote d'Ivoire	Africa	#F8766D
#F8766D	1987	54.655	1987	Cote d'Ivoire	Africa	#F8766D
#F8766D	1992	52.044	1992	Cote d'Ivoire	Africa	#F8766D
#F8766D	1997	47.991	1997	Cote d'Ivoire	Africa	#F8766D
#F8766D	2002	46.832	2002	Cote d'Ivoire	Africa	#F8766D
#F8766D	2007	48.328	2007	Cote d'Ivoire	Africa	#F8766D
#00B0F6	1952	61.21	1952	Croatia	Europe	#00B0F6
#00B0F6	1957	64.77	1957	Croatia	Europe	#00B0F6
#00B0F6	1962	67.13	1962	Croatia	Europe	#00B0F6
#00B0F6	1967	68.5	1967	Croatia	Europe	#00B0F6
#00B0F6	1972	69.61	1972	Croatia	Europe	#00B0F6
#00B0F6	1977	70.64	1977	Croatia	Europe	#00B0F6
#00B0F6	1982	70.46	1982	Croatia	Europe	#00B0F6
#00B0F6	1987	71.52	1987	Croatia	Europe	#00B0F6
#00B0F6	1992	72.527	1992	Croatia	Europe	#00B0F6
#00B0F6	1997	73.68	1997	Croatia	Europe	#00B0F6
#00B0F6	2002	74.876	2002	Croatia	Europe	#00B0F6
#00B0F6	2007	75.748	2007	Croatia	Europe	#00B0F6
#A3A500	1952	59.421	1952	Cuba	Americas	#A3A500
#A3A500	1957	62.325	1957	Cuba	Americas	#A3A500
#A3A500	1962	65.246	1962	Cuba	Americas	#A3A500
#A3A500	1967	68.29	1967	Cuba	Americas	#A3A500
#A3A500	1972	70.723	1972	Cuba	Americas	#A3A500
#A3A500	1977	72.649	1977	Cuba	Americas	#A3A500
#A3A500	1982	73.717	1982	Cuba	Americas	#A3A500
#A3A500	1987	74.174	1987	Cuba	Americas	#A3A500
#A3A500	1992	74.414	1992	Cuba	Americas	#A3A500
#A3A500	1997	76.151	1997	Cuba	Americas	#A3A500
#A3A500	2002	77.158	2002	Cuba	Americas	#A3A500
#A3A500	2007	78.273	2007	Cuba	Americas	#A3A500
#00B0F6	1952	66.87	1952	Czech Republic	Europe	#00B0F6
#00B0F6	1957	69.03	1957	Czech Republic	Europe	#00B0F6
#00B0F6	1962	69.9	1962	Czech Republic	Europe	#00B0F6
#00B0F6	1967	70.38	1967	Czech Republic	Europe	#00B0F6
#00B0F6	1972	70.29	1972	Czech Republic	Europe	#00B0F6
#00B0F6	1977	70.71	1977	Czech Republic	Europe	#00B0F6
#00B0F6	1982	70.96	1982	Czech Republic	Europe	#00B0F6
#00B0F6	1987	71.58	1987	Czech Republic	Europe	#00B0F6
#00B0F6	1992	72.4	1992	Czech Republic	Europe	#00B0F6
#00B0F6	1997	74.01	1997	Czech Republic	Europe	#00B0F6
#00B0F6	2002	75.51	2002	Czech Republic	Europe	#00B0F6
#00B0F6	2007	76.486	2007	Czech Republic	Europe	#00B0F6
#00B0F6	1952	70.78	1952	Denmark	Europe	#00B0F6
#00B0F6	1957	71.81	1957	Denmark	Europe	#00B0F6
#00B0F6	1962	72.35	1962	Denmark	Europe	#00B0F6
#00B0F6	1967	72.96	1967	Denmark	Europe	#00B0F6
#00B0F6	1972	73.47	1972	Denmark	Europe	#00B0F6
#00B0F6	1977	74.69	1977	Denmark	Europe	#00B0F6
#00B0F6	1982	74.63	1982	Denmark	Europe	#00B0F6
#00B0F6	1987	74.8	1987	Denmark	Europe	#00B0F6
#00B0F6	1992	75.33	1992	Denmark	Europe	#00B0F6
#00B0F6	1997	76.11	1997	Denmark	Europe	#00B0F6
#00B0F6	2002	77.18	2002	Denmark	Europe	#00B0F6
#00B0F6	2007	78.332	2007	Denmark	Europe	#00B0F6
#F8766D	1952	34.812	1952	Djibouti	Africa	#F8766D
#F8766D	1957	37.328	1957	Djibouti	Africa	#F8766D
#F8766D	1962	39.693	1962	Djibouti	Africa	#F8766D
#F8766D	1967	42.074	1967	Djibouti	Africa	#F8766D
#F8766D	1972	44.366	1972	Djibouti	Africa	#F8766D
